,0
UP00021|Zfp281,1.6512537959770007e-14
MS00312|ZBTB7B,1.9558258741273537e-12
UP00001|E2F2,2.239980328142238e-12
UP00003|E2F3,5.317806376860797e-12
MA0073|RREB1,5.373657528175838e-12
M00373|PAX4,7.1744708610512876e-12
MS00227|TFAP2A,9.98262990379456e-12
MS00230|TFAP2B,1.0983823928594594e-11
M01742|Zscan10,1.624199848811909e-11
MS00241|Tcfap2a,2.7608810968170094e-11
MS00111|NFKB2,5.4834850535614964e-11
M01714|KLF15,1.1138567034579437e-10
M01175|ZBTB7B,1.7518083473124122e-10
M01122|ZNF219,1.7890508972423574e-10
M01118|WT1,2.387482838978951e-10
MS00050|GCM2,2.8761374664976374e-10
MC00192|ZNF263,3.653169611250336e-10
UP00024|Glis2,3.9677490765883595e-10
MS00035|GLIS2,4.096640344527182e-10
MC00502|HMGN1,6.005470900361536e-10
MS00567|EGR3,6.992465137592394e-10
MA0163|PLAG1,7.502240670811106e-10
M00649|MAZ,1.210589259237062e-09
MS00243|Ascl2,1.7470066562782987e-09
M01177|SREBF2,1.7659997461246483e-09
MS00223|SP3,2.045917545120374e-09
MS00357|ZIC4,2.116964031786633e-09
MS00445|ZNF740,3.4854084161847633e-09
MS00047|GCM1,4.631108846217861e-09
MS00815|E2F1,4.7100853865252365e-09
M00143|PAX5,7.05189656759652e-09
MC00158|E2f4,7.089643007000246e-09
UP00006|Zic3,7.783297488469236e-09
UP00010|Tcfap2b,8.426586449051768e-09
MC00376|ZBTB7A,9.566260153116554e-09
MS00079|HINFP1,1.170288392572329e-08
UP00065|Zfp161,1.3386482314259919e-08
MS00274|NHLH1,1.4573575673157164e-08
MS00843|GLI2,1.5169029607281345e-08
MS00173|RUNX2,1.7875119456596658e-08
UP00057|ZIC2,1.812525044638059e-08
MS00090|HINFP1,1.8372867137166437e-08
UP00088|PLAGL1,1.9138621958835786e-08
MC00319|EGR2,2.437592544580044e-08
M01104|Ovol2,2.787850767824536e-08
MS00229|TFAP2B,2.874450050921086e-08
MS00334|ZIC1,3.062255754681943e-08
MC00144|Rfx1,3.2476575472257575e-08
MA0116|Zfp423,3.699778063860235e-08
MS00323|ZBTB7C,3.725145255764968e-08
MS00258|HEY1,4.351595000829033e-08
M00491|PATZ1,4.520568233108498e-08
M00644|UBP1,5.384139826886687e-08
MC00109|Klf4,5.6780645657853254e-08
MC00182|E2F1,5.844119389834049e-08
MS00523|Zic3,6.899845337676336e-08
MC00320|EGR1,7.012675261665133e-08
MS00512|Zfp740,7.846168226659727e-08
MS00256|HES7,8.045857198483884e-08
MC00221|Tbx3,8.721012601951375e-08
MC00128|CTCF,8.809660462291959e-08
MS00057|HIC2,9.852280701883399e-08
UP00102|ZIC1,1.0726652884532897e-07
MS00678|EGR4,1.0931041750873473e-07
M00072|TFCP2,1.2959581712668258e-07
MS00260|HEY2,1.370383300686955e-07
M00448|ZIC1,1.4666855010938299e-07
MS00255|HES5,1.7112029986376144e-07
MS00240|Tcfap2a,1.7679507955991206e-07
MC00183|Snai1,1.8338159478354497e-07
MC00187|Ctcf,1.8789273921791816e-07
M00085|ZBTB6,1.9060117405666224e-07
M00378|PAX4,1.924729178306143e-07
UP00087|Tcfap2c,2.355425799526486e-07
MS00101|Hic1,2.403925222964424e-07
MC00110|Klf1,2.707518621546265e-07
M00665|SP3,2.742723735987413e-07
MS00024|GLIS1,3.0890731323512986e-07
MC00430|Egr2,3.2193496572970775e-07
MS00346|ZIC3,3.3472069097345885e-07
MS00301|ZBTB7A,3.397429249696042e-07
M01733|MZF1,3.539321167329582e-07
MC00265|Tcf3,3.6045803286847447e-07
M00736|E2F1::TFDP1,3.8520603918514893e-07
MC00130|Pparg,3.8709827766554906e-07
M00647|NR1H3,3.9356170927179296e-07
MC00523|E2F4,3.9538966004331915e-07
MS00789|Egr3,4.3683948780881665e-07
M01100|ZBTB7A,4.5158844956808744e-07
M01243|MTF1,5.256079437018755e-07
MC00254|E2F6,7.337341957584446e-07
MC00467|RXRA,7.601946932278759e-07
MA0155|INSM1,7.787756143497461e-07
M00444|VDR,8.528698079390047e-07
MS00146|KLF16,9.380778131016588e-07
M00139|AHR,9.923037063963222e-07
MS00228|TFAP2B,1.0986417502102996e-06
MS00246|SP8,1.2480029345846592e-06
MS00048|GCM1,1.2645963286766537e-06
MC00332|PAX5,1.3295377850450159e-06
MC00328|Zfx,1.351693071667691e-06
UP00031|Zbtb3,1.4643620052183236e-06
MS00212|SP1,1.8998809933128146e-06
MA0014|PAX5,1.919588631666982e-06
MC00530|TFAP2A,1.9331458717042255e-06
MS00239|Tcfap2a,2.3250467137337267e-06
M00341|GABPB1,2.3869274328204975e-06
M00646|HNF1B,2.543094411889556e-06
MC00124|MAX,2.945120056455588e-06
M01009|HES1,3.1184060783210834e-06
MS00380|FOXO3,3.1745296577853695e-06
MC00299|BRCA1,3.4745724261469957e-06
M01288|NEUROD1,3.4912743931871825e-06
M01241|GTF2IRD1,3.6475645973320774e-06
UP00084|Gmeb1,4.151412047251567e-06
MS00174|RUNX2,4.811679005047805e-06
MC00305|Sox6,6.773032972713208e-06
M01037|GLI1,7.1306800241011295e-06
MC00125|Rest,7.608256064749763e-06
MC00509|NR2C2,7.794055606846375e-06
MS00110|NFKB1,8.006634087045577e-06
MC00461|Max,8.324148568377175e-06
UP00093|Klf7,9.82812882940671e-06
M00737|E2F1::TFDP2,9.847431973079994e-06
MS00285|TCF4,1.2557337394933634e-05
MS00331|MAFK,1.3632119502299342e-05
MC00362|Arntl,1.398918032301277e-05
MC00532|Mycn,1.5819012968502647e-05
MS00183|GMEB2,1.5944692494759617e-05
MC00252|Rara,1.6311112523368695e-05
MS00609|RHOXF1,1.662336720442489e-05
M00449|ZIC2,1.695547091829165e-05
UP00028|Tcfap2e,1.7466377182884767e-05
M01002|DEAF1,1.789549782149343e-05
MC00510|E2f3,1.8784211517801655e-05
MC00335|ESR1,1.9136708735283888e-05
MC00142|PPARG,2.1169284619633807e-05
MS00188|MGA,2.152572247587651e-05
M00717|PAX8,2.244709796486472e-05
MC00170|PGR,2.24571461417147e-05
MC00257|Pax5,2.5834003792286957e-05
MS00725|MTF1,2.8217641112623623e-05
MC00391|ZNF143,2.945850625328333e-05
MS00729|ZNF282,3.789957690796665e-05
M00332|FOXN1,3.989154112322876e-05
M00961|VDR,4.0656080126807985e-05
MS00727|ZBTB49,4.092855054826428e-05
M00733|SMAD4,4.4611344484729056e-05
MC00333|ESR2,4.6180222184487566e-05
UP00094|Zfp128,5.031098542672005e-05
MS00217|TBX5,5.264493303872804e-05
UP00035|HIC1,5.4191914112040053e-05
MC00448|Nr1h2,5.667022433372742e-05
MC00341|Olig2,5.7776100674448884e-05
MC00392|SMAD4,6.064358921889679e-05
MC00174|REST,7.0620309879659e-05
MS00046|GLIS3,7.274708176097412e-05
MS00211|TBX2,7.419313271751168e-05
MS00118|PAX2,8.293175218234237e-05
MS00534|CENPB,8.319894823288539e-05
M00706|GTF2I,8.729307743377819e-05
MC00278|ETS1,8.792701515257596e-05
MC00374|TFAP2C,9.852117566398919e-05
MC00232|MEF2A,0.0001107848022701711
MC00394|MYC,0.00012006891291627074
MC00316|HIF1A,0.00012267530561443685
MS00342|XBP1,0.0001238720188107219
M01783|SP2,0.0001268851639165557
MC00203|RFX3,0.00013483166926786769
MC00224|EPAS1,0.00013805086881989805
MS00288|TFE3,0.0001393191783236838
MC00412|VDR,0.00014170666258706018
MC00458|TAL1,0.00014386833976541596
MS00190|SCRT2,0.0001491507423750936
MS00423|ZNF524,0.00015485470822629275
MS00114|NFIB,0.0001603327987543711
MS00067|IRF5,0.00017044480955378624
MC00377|Trp53,0.0001796024097844191
MC00418|ZBTB33,0.00018489508047126629
MA0051|IRF2,0.00018701242153558816
MC00231|MEF2C,0.00018990170417562352
MS00308|CREB3,0.00019873110248457357
MC00427|ETV1,0.000211533326202295
MC00223|SMAD2/3,0.00021430752121977901
MC00503|SMAD3,0.00021430752121977901
MS00335|Mafb,0.0002162111260198837
M00695|TEAD2,0.0002780866069478656
M00468|KLF12,0.0002847764822058322
MC00373|Mxi1,0.0002897384985084879
M01334|Nkx1-1,0.00029899444378914326
UP00330|XBP1,0.0003016302469571843
M01596|GLI3,0.0003186243412780877
M01248|NR0B1,0.0003393152027283639
MS00333|Mafb,0.00035691249387187794
MS00712|E2F2,0.000382193774927891
MC00295|Esr1,0.00040010482796221954
M00648|MAF,0.0004128584955895074
MC00369|Myod1,0.000436656814674299
MC00407|Myc,0.00045062899114672975
M01592|TFCP2L1,0.0004551360104922795
MS00383|FOXO4,0.000547453313604476
MS00083|MEIS2,0.0005834602537286905
MC00398|FLI1,0.0006108775121370958
MS00311|Creb3l2,0.0006224915470207525
UP00095|Zfp691,0.0006781986295392702
M01109|ZNF589,0.0006793285080445697
MS00235|SP4,0.0006860411217527758
MC00193|RELA,0.0006958136520800776
MS00135|KLF14,0.0007300326522083054
MS00264|MESP1,0.0007916951607694255
M00327|PAX3,0.0008194980658599439
MC00140|Stat3,0.0008341685112612467
MC00262|ARNT,0.0008479119055044973
MS00267|MNT,0.000899800594639486
MC00321|JUN,0.0010178595984402456
MC00126|TCF12,0.0011183194075301637
MA0145|Tcfcp2l1,0.0011460195477783048
MS00392|Foxg1,0.0012072249353289907
UP00011|IRF6,0.0012222288912293814
M01105|ZNF350,0.0012242139869042244
M01229|GTF2IRD1,0.001367475631780377
MS00386|FOXO6,0.0014145633359706339
MC00475|Nfic,0.0015779201222948125
M00433|Hmx3,0.0019199441454478114
M00500|STAT6,0.0019241336615413562
MS00739|E2F8,0.0019747769369319688
MS00304|CREB3L1,0.0023207127040244567
MC00344|Hnf4a,0.002566972692016714
MS00490|ZSCAN4,0.0025936141558784284
MC00134|Ppara,0.0027260804782852552
MC00364|NFYA,0.002782816796213207
M00792|SMAD1,0.0035001925697100557
M00983|MAF,0.003625022385752112
MS00651|NR2C2,0.0037457328325176476
M00514|ATF4,0.0037476734676028336
M00749|SREBF1,0.0038135880860411873
MS00515|Hoxa11,0.003966033878224879
MS00266|MLX,0.004020191809656549
MS00253|CLOCK,0.004111308440851535
MS00117|PAX1,0.0041775248867756635
MC00339|NFE2L2,0.004222366480930605
MC00371|JUNB,0.004348407632019234
MS00302|CEBPG,0.004392890843775355
UP00193|Rhox11,0.004584212451344238
UP00040|Irf5,0.004786540097310361
M00518|PPARG::RXRA,0.0049902795995977025
MC00386|BCL6,0.005065448947106832
MC00468|AR,0.005469470568447252
MS00299|CEBPD,0.005881205701651386
MS00822|NFIX,0.005944340695984866
MS00115|NFIX,0.0063244139559361584
MC00132|TP73,0.00640331123284592
MC00113|SP1,0.006531625501764863
M00486|PAX2,0.0065642611487347294
MC00154|Jund,0.006701094744457415
MC00456|JUND,0.006742253117287974
M01450|Obox1,0.00683079710259419
MC00414|Atoh1,0.007102524472035498
MS00289|TFEB,0.007120954252060235
M00712|MYOG,0.007205625430058496
MC00351|FOSL1,0.007237138092407449
UP00052|Osr2,0.007405602372986031
UP00018|Irf4,0.007581314746817871
MC00359|TP53,0.007754410407986752
MC00518|Tfcp2,0.007995167081256202
MS00201|SNAI2,0.008105579577893459
M01364|Obox2,0.008322977085517587
UP00056|RFX4,0.00883298430580622
MS00157|Klf12,0.0088632681896809
MC00439|TP63,0.00908591826105407
M01295|ATF5,0.009681429430254192
MS00254|FIGLA,0.011253187230339114
MC00219|TCF4,0.011481047814251372
M00490|BACH2,0.011613815213049801
M00088|IKZF1,0.01169020806318287
MS00179|SCRT1,0.012110003024929844
M00115|CNTN2::CREB1,0.012538166324309286
MS00161|RFX2,0.0125823298589497
MS00475|HMX3,0.012798753234031218
UP00186|MEIS1,0.012806261329528609
MC00358|Ebf1,0.013437046294955252
MS00327|MAFG,0.014056255590699767
M00467|ZNF423,0.014839986852787278
UP00043|Bcl6b,0.01515529587456242
MC00473|ATF3,0.015196050839595899
MS00171|Rfx2,0.015478057549006895
MS00376|FOXO1,0.015784055636462867
UP00249|NKX2-5,0.016562996723552426
MS00579|TFCP2,0.01725810291939915
MS00027|FLI1,0.01746678162440314
MS00170|Rfx2,0.017826691044231003
MC00465|NR3C1,0.018589389420091435
M00964|NR1I2,0.019319558085444805
MC00135|Rela,0.020175740939175228
MC00511|Rxrg,0.020591171062073314
MC00207|ELK4,0.02068537465662389
MC00330|FOS,0.0217440005740489
M01069|GZF1,0.021746624471040612
M01466|Obox3,0.022386266833016776
MS00657|NR2F1,0.02261117413217629
MA0101|REL,0.02319856415286656
MS00820|NFIA,0.02323342199264896
UP00086|IRF3,0.026364887778475114
M01479|POU6F1,0.02707778582591795
M01081|ZNF628,0.02768074920032119
MA0131|HINFP,0.027866712256715956
MS00125|PAX6,0.028051963718746086
MS00124|KLF13,0.02847494547769796
MS00807|MSC,0.028938050540906552
MA0017|NR2F1,0.029705477142411323
MS00128|PAX9,0.02998759763713579
MS00182|GMEB2,0.03042449741506656
MS00169|RFX5,0.030764475577694753
MS00436|DPRX,0.03175330016087671
MS00300|CEBPE,0.032180666423833056
M00694|E4F1,0.03251543487754143
MS00291|Tcf21,0.032763185057095294
MS00247|BHLHB2,0.033415399871229386
UP00237|Otp,0.03436293793904303
M00159|CEBPA,0.035421997977159995
MC00334|SIX5,0.035829290724034346
UP00148|Hdx,0.036238029795997544
MS00100|MYBL1,0.03634808941698197
MS00726|PRDM4,0.038173293773792916
MS00265|MLXIPL,0.038429964495997004
MS00177|RUNX3,0.038812913751813866
MS00268|YY2,0.039365580900127796
UP00190|NKX2-3,0.03987873285565803
MS00145|POU3F4,0.040548908965195224
MC00272|CEBPB,0.0414588121410696
MC00309|TCF7L2,0.04228424682977749
MC00191|Nfya,0.04258316393441163
MA0161|NFIC,0.04287218232704544
MS00343|FOXB1,0.044891752668765404
M01744|ZFP42,0.04588361455070163
MC00160|ETV3,0.046312949215698646
MA0067|PAX2,0.04768722944627962
MS00571|NKX2-8,0.04854335429179138
M01728|NR2F6,0.04927912533821839
MS00093|Pknox2,0.04998031014026519
M00808|PAX1,0.05068013307210314
MA0066|PPARG,0.05140205942464672
MS00261|ID4,0.054081721503103704
MS00075|MEF2B,0.05438869442173324
MS00548|Lhx8,0.054634185623550796
M01010|HMGA1,0.05474255307804227
MC00357|Crx,0.05490271329072263
MS00533|LBX2,0.05496658202891953
M00632|GATA4,0.055084890135409056
MS00207|TBX21,0.05699439177851692
UP00066|HNF4A,0.05755348919072912
MS00287|TFAP4,0.0577891987926228
MS00062|HSFY2,0.05815494784509539
MS00248|BHLHB3,0.05892537475879913
UP00184|Lhx8,0.05999855998662943
MC00411|BATF,0.06004629631047154
MA0108|TBP,0.06038363586735712
M00495|BACH1,0.06047518109754005
MS00270|Mlx,0.0616318255866695
MC00248|USF1,0.06330358003750823
MS00493|HOXB5,0.0648790662729157
MS00131|POU2F1,0.0679674550958649
M00483|ATF6,0.07166168146220855
MS00788|SRY,0.0729205672726779
UP00199|SIX4,0.07579828157508071
MS00398|Foxk1,0.07584649493566538
MC00408|Myb,0.07917464277112042
MS00638|ESRRG,0.07955197506214191
M00515|PPARG::RXRA,0.0837142369740386
MS00731|ZNF713,0.0840482637720333
MC00508|Batf,0.08465860612274669
MS00168|PRDM1,0.08509893838173452
M00179|ATF2,0.08593372925057553
MC00141|Stat1,0.08597173350467942
UP00038|Spdef,0.08704549336322567
MC00287|POU2F2,0.08726398828207545
M01247|NANOG,0.08757111049761529
M01230|ZNF333,0.08946970280875556
M01734|NFATC4,0.08962004119825427
MS00705|Rarg,0.08963185929145848
M00141|IKZF1,0.09056023804612263
MS00808|TFEC,0.0921599704211363
M01171|BCL6,0.09392355411388023
MC00432|HNF4A,0.09397615593826812
UP00137|Hoxb3,0.09402948609929321
MS00095|TGIF2LX,0.09408918332372271
UP00027|Osr1,0.09561543200120888
MS00102|MYBL2,0.0987927413942068
MS00336|NFE2,0.10063190996428867
MC00136|Hoxb4,0.10100375923414737
MC00195|Myf5,0.10262643466043925
MC00293|Gfi1b,0.10492275869329347
MS00390|ZNF238,0.10910868628602356
UP00197|HOXC9,0.11368786733930546
M00326|PAX1,0.1157606540144485
MS00504|HOXC13,0.11663813064981686
MS00468|ZNF75A,0.11732975083556609
MS00848|ERG,0.11923972797299782
MC00355|SRF,0.12052853874020726
MS00684|RARG,0.12274605043227868
MS00065|IRF4,0.12445241856257538
MS00094|TGIF1,0.1255831472797563
MS00326|MAFF,0.1299924963301145
MS00511|HOXD13,0.1302211584254711
M00993|TAL1,0.1317450749219435
MC00356|Tbx21,0.1324484083488972
MS00573|NKX3-2,0.13444442471779713
MS00694|RXRG,0.136151627071544
MS00072|IRF8,0.13726572907563492
M01709|MAFA,0.13772965012864774
UP00107|Nkx2-4,0.1378002331373733
MS00330|MAFK,0.14014302226692701
MS00282|Srebf1,0.14259426735490877
MC00507|Meis1,0.14334561828757275
M01445|Obox6,0.1436044823610734
MC00119|GATA3,0.14400284570555294
M00526|NR6A1,0.1452500852452864
UP00058|TCF3,0.14616259341879942
UP00009|Nr2f2,0.14957808353071825
MS00501|Zfp652,0.15194785700977798
MS00479|ZNF784,0.15196444253731972
MS00214|TBX4,0.15469107820969075
UP00092|MYB,0.1560556689355676
MC00111|Bcl6,0.15619316282620907
MC00151|SPI1,0.15927437266559177
MC00348|STAT1,0.16048170260158692
MA0152|NFATC2,0.16489942764596466
UP00218|Dbx2,0.1669244681585323
M01252|E2F6,0.16707288013129762
MS00252|Bhlhb2,0.1696142863679668
MC00325|Gata2,0.1732936160484562
M01312|NKX2-1,0.1748348338577519
MS00507|HOXD11,0.17976664953133245
MS00092|PKNOX2,0.18118338857847038
MS00711|THRB,0.18144849828264176
MS00709|THRA,0.18346836303626565
UP00238|Nkx6-3,0.18858435058972658
MS00045|GATA5,0.18981217184624288
MS00572|NKX3-1,0.18988937913432502
UP00020|ATF1,0.19104283621979629
MS00626|VSX1,0.1959981782208013
MS00152|POU5F1P1,0.1975316966383433
M01067|GFI1,0.20133664260697204
MS00103|MYBL2,0.2068222494124773
MS00717|Tp53,0.20786982377637156
M00456|BPTF,0.20798831376401505
MS00682|RARG,0.21154901924043976
UP00252|HOXC5,0.2120465783312042
MC00190|Irf4,0.21323655402691832
M00133|POU3F1,0.21376835201209182
MS00685|RORA,0.21414459794794566
MC00349|Jun,0.21620770321480962
UP00125|PITX2,0.21662022711882292
UP00048|RARA,0.2177765390520734
MS00162|RFX2,0.2188975704176731
MC00457|ELF1,0.21961114297175063
MS00091|PKNOX1,0.22140123970804063
MC00388|Tal1,0.22312021432997967
UP00187|ALX4,0.22402202050327724
MS00710|THRB,0.22607110114304393
MS00528|ISL2,0.2261702674569527
MC00157|Tead4,0.2345869371165074
MS00580|Nkx3-1,0.23462124221248898
MS00466|GSX2,0.23587247430064615
MA0164|NR2E3,0.2366737811416037
MS00281|SREBF2,0.23977920277261508
M01425|HNF1B,0.24216372649305026
UP00423|Gm5454,0.24328753687494167
MS00401|ZNF306,0.24470782692220183
MA0319|HSF1,0.24561330510440013
MS00361|FOXG1,0.2466840301020281
MS00087|Meis2,0.2558049665074012
MC00281|PBX3,0.25685993860845635
MC00477|ZNF711,0.25956311168084106
MC00413|Runx1,0.2613609035852691
MS00481|HOXA10,0.2615849860083015
MS00713|THRB,0.2617082435125696
MC00169|Usf2,0.2625386662429022
MS00208|TBX21,0.2628938217125841
MC00342|YY1,0.2639155992624114
MS00295|Atf4,0.2719139547937305
MS00524|Hoxd9,0.27294716004068476
UP00418|Etv6,0.27302902084614167
MS00589|PDX1,0.2734815004375253
MS00505|HOXC13,0.2739090769395616
M01305|TEF,0.2740052048508288
UP00119|Nkx2-9,0.2761914797442822
MS00756|E2F7,0.27642305726213157
MC00372|Yy1,0.2766530855466234
MS00421|Barhl1,0.280601143278767
UP00114|Homez,0.2821656933555375
MS00106|NFAT5,0.28236674937841605
MC00121|Cebpb,0.28288746391106884
UP00213|HOXA9,0.283678773680602
UP00128|POU3F2,0.28480269951275644
MS00371|FOXK1,0.2849396763050397
MS00019|ETV5,0.28503830816643316
MC00395|Sfpi1,0.28578133878659917
MC00180|Sfpi1,0.28578133878659917
MC00506|Spi1,0.28578133878659917
MS00425|CDX1,0.28804816832358515
M00222|TCF3,0.288753610070257
MS00555|MIXL1,0.29103436517381376
MS00692|RXRB,0.2934808353658675
M01119|ZBTB33,0.2940805250054194
MS00040|SPIC,0.2994685210055216
UP00045|MAFB,0.30171344355602736
UP00071|Sox21,0.30441988165571277
MS00800|Sox1,0.3067133804332269
UP00158|POU1F1,0.3067498804111135
M01123|NANOG,0.30752704334792647
UP00080|Gata5,0.3082567750677699
MS00251|BHLHE41,0.30836365907402574
MS00503|HOXC12,0.30912918220201036
