,0,TF
MC00332|PAX5,3.872078286979578e-29,PAX5
MS00135|KLF14,1.335218781224112e-24,KLF14
M00717|PAX8,1.9811198961166478e-24,PAX8
M00139|AHR,4.73398126563435e-24,AHR
MC00320|EGR1,6.4352033947925645e-24,EGR1
MC00257|Pax5,9.809043363925087e-24,Pax5
M00327|PAX3,1.2158284890750671e-23,PAX3
M01177|SREBF2,1.5896479461398182e-22,SREBF2
UP00057|ZIC2,2.3456064251177956e-22,ZIC2
MS00357|ZIC4,2.963272264148005e-22,ZIC4
UP00003|E2F3,6.788419950856967e-22,E2F3
MC00299|BRCA1,1.723421006666659e-21,BRCA1
MS00079|HINFP1,2.086741508854514e-21,HINFP1
M01122|ZNF219,2.2757894342584123e-21,ZNF219
MC00418|ZBTB33,2.7718312368369522e-21,ZBTB33
UP00088|PLAGL1,4.20908323588062e-21,PLAGL1
MS00567|EGR3,4.2500858986083754e-21,EGR3
MS00239|Tcfap2a,4.642353175556719e-21,Tcfap2a
M01592|TFCP2L1,7.562736358534861e-21,TFCP2L1
MC00221|Tbx3,8.011668217067213e-21,Tbx3
MC00376|ZBTB7A,8.393944769159465e-21,ZBTB7A
UP00102|ZIC1,9.068303852185181e-21,ZIC1
MC00523|E2F4,1.2443089249164747e-20,E2F4
M00373|PAX4,1.551609618713527e-20,PAX4
UP00001|E2F2,1.8474267182177904e-20,E2F2
MS00789|Egr3,3.9144511181554954e-20,Egr3
MC00182|E2F1,5.407142930395298e-20,E2F1
MS00445|ZNF740,6.194297287141561e-20,ZNF740
M01118|WT1,7.22812163484447e-20,WT1
MS00117|PAX1,7.722813962149524e-20,PAX1
MS00118|PAX2,1.0631016069953735e-19,PAX2
MS00128|PAX9,1.3235746057122534e-19,PAX9
UP00006|Zic3,1.4628268481067873e-19,Zic3
MS00346|ZIC3,1.6473956285198531e-19,ZIC3
MS00228|TFAP2B,1.6478119303578505e-19,TFAP2B
MC00319|EGR2,2.79330018206557e-19,EGR2
MS00246|SP8,3.843744096196174e-19,SP8
MA0116|Zfp423,3.882150994660517e-19,Zfp423
MS00223|SP3,4.1876669816363854e-19,SP3
MS00035|GLIS2,4.738243136471021e-19,GLIS2
M00332|FOXN1,4.941381997967895e-19,FOXN1
MS00534|CENPB,5.989287381867551e-19,CENPB
UP00087|Tcfap2c,8.537282834921308e-19,Tcfap2c
MC00333|ESR2,1.2206186209342136e-18,ESR2
M00491|PATZ1,2.0376950685460528e-18,PATZ1
UP00065|Zfp161,2.073341464744451e-18,Zfp161
MS00323|ZBTB7C,2.8187460789845423e-18,ZBTB7C
MS00678|EGR4,3.2765630280674025e-18,EGR4
UP00021|Zfp281,4.343066768287216e-18,Zfp281
M01783|SP2,6.2209542703447765e-18,SP2
MC00430|Egr2,6.5382984184814345e-18,Egr2
MS00211|TBX2,6.5526996441174726e-18,TBX2
MS00024|GLIS1,6.65792460645515e-18,GLIS1
M00695|TEAD2,6.801963274787412e-18,TEAD2
MC00140|Stat3,6.817345518484895e-18,Stat3
UP00084|Gmeb1,7.187619186997033e-18,Gmeb1
MC00158|E2f4,8.491322156127667e-18,E2f4
M00737|E2F1::TFDP2,8.669557877796287e-18,E2F1::TFDP2
M01714|KLF15,1.3498981419523473e-17,KLF15
MC00183|Snai1,1.638356384152541e-17,Snai1
MC00174|REST,2.05618376542764e-17,REST
MS00235|SP4,2.2754070479899076e-17,SP4
UP00000|SMAD3,2.7732371606833642e-17,SMAD3
MS00212|SP1,3.097937669065645e-17,SP1
MS00146|KLF16,3.371229721568359e-17,KLF16
UP00028|Tcfap2e,4.7701359048962665e-17,Tcfap2e
MC00328|Zfx,4.812841471386218e-17,Zfx
MS00843|GLI2,5.137672946375954e-17,GLI2
MS00512|Zfp740,6.125764728467646e-17,Zfp740
MS00046|GLIS3,6.306870730369207e-17,GLIS3
M00647|NR1H3,7.276585117507994e-17,NR1H3
UP00066|HNF4A,8.870202108025057e-17,HNF4A
MC00254|E2F6,1.2485892432978673e-16,E2F6
M01002|DEAF1,1.6665820149734392e-16,DEAF1
MC00252|Rara,2.8800701344730043e-16,Rara
M01742|Zscan10,3.13055300326041e-16,Zscan10
MC00391|ZNF143,3.6328599455916546e-16,ZNF143
MS00048|GCM1,4.707337215365137e-16,GCM1
MS00727|ZBTB49,9.248215820766322e-16,ZBTB49
M00649|MAZ,1.0119240455303604e-15,MAZ
MS00124|KLF13,1.289769540231458e-15,KLF13
M00736|E2F1::TFDP1,1.4212793173025186e-15,E2F1::TFDP1
MS00285|TCF4,1.5165042265484317e-15,TCF4
MC00510|E2f3,1.9126061879326567e-15,E2f3
MC00427|ETV1,2.1834480907560545e-15,ETV1
MS00157|Klf12,2.5298620801390005e-15,Klf12
M01241|GTF2IRD1,3.6806177420089335e-15,GTF2IRD1
M01104|Ovol2,6.4362626640524626e-15,Ovol2
M00468|KLF12,6.620667131310945e-15,KLF12
UP00093|Klf7,6.6810411039319565e-15,Klf7
M01243|MTF1,9.895507352150604e-15,MTF1
M00514|ATF4,1.1996267056814573e-14,ATF4
M00179|ATF2,1.5898513764566214e-14,ATF2
MS00264|MESP1,1.811029308007587e-14,MESP1
M01109|ZNF589,1.9278155539236883e-14,ZNF589
MS00274|NHLH1,2.594851936042561e-14,NHLH1
MC00518|Tfcp2,2.7482453756514472e-14,Tfcp2
MA0145|Tcfcp2l1,4.185539740849675e-14,Tcfcp2l1
MS00423|ZNF524,4.7032575643465e-14,ZNF524
UP00330|XBP1,5.068109207581177e-14,XBP1
MC00144|Rfx1,5.088145127271943e-14,Rfx1
M01175|ZBTB7B,5.715559427146293e-14,ZBTB7B
M01009|HES1,6.115602115446442e-14,HES1
MA0131|HINFP,6.193572506329092e-14,HINFP
MC00160|ETV3,6.84987571912975e-14,ETV3
M00500|STAT6,8.353588687757865e-14,STAT6
MS00183|GMEB2,1.1696623733257073e-13,GMEB2
UP00094|Zfp128,1.2491669023240495e-13,Zfp128
MC00109|Klf4,1.6549950487163775e-13,Klf4
MC00125|Rest,2.1118568953017352e-13,Rest
UP00010|Tcfap2b,2.2117981403986683e-13,Tcfap2b
UP00038|Spdef,2.4861717080995784e-13,Spdef
MC00509|NR2C2,3.4059310361063973e-13,NR2C2
MS00101|Hic1,3.7576814028382496e-13,Hic1
M01037|GLI1,4.1623127668467324e-13,GLI1
MC00316|HIF1A,4.810051084421877e-13,HIF1A
MS00111|NFKB2,5.062686201597115e-13,NFKB2
MC00262|ARNT,5.080904156078623e-13,ARNT
MS00125|PAX6,6.817685255105784e-13,PAX6
MS00173|RUNX2,9.61136676485918e-13,RUNX2
MS00260|HEY2,1.2365143443215328e-12,HEY2
M00518|PPARG::RXRA,1.4604742468471433e-12,PPARG::RXRA
MS00304|CREB3L1,1.778529660696786e-12,CREB3L1
MS00227|TFAP2A,1.7817958655880904e-12,TFAP2A
MS00019|ETV5,1.8889738374101115e-12,ETV5
MA0163|PLAG1,2.103375963433066e-12,PLAG1
MC00358|Ebf1,2.3879672781593138e-12,Ebf1
M00222|TCF3,2.44747638524313e-12,TCF3
MC00110|Klf1,2.6043617280970395e-12,Klf1
M00792|SMAD1,2.76463169985779e-12,SMAD1
M01248|NR0B1,2.797454800387185e-12,NR0B1
MS00110|NFKB1,4.517947332623654e-12,NFKB1
MS00258|HEY1,5.028708979608459e-12,HEY1
MS00057|HIC2,5.1429893755498664e-12,HIC2
MS00333|Mafb,5.430180531889673e-12,Mafb
MS00533|LBX2,6.026027502913706e-12,LBX2
MA0155|INSM1,7.259131309215514e-12,INSM1
UP00031|Zbtb3,8.663983413461532e-12,Zbtb3
UP00024|Glis2,1.2669325494997129e-11,Glis2
MS00308|CREB3,1.5956252782578398e-11,CREB3
MS00331|MAFK,1.7072447267415762e-11,MAFK
MC00475|Nfic,1.8171975455958895e-11,Nfic
M00733|SMAD4,2.8943133048194736e-11,SMAD4
MC00374|TFAP2C,3.0343362148940135e-11,TFAP2C
MC00128|CTCF,3.271570805230122e-11,CTCF
M00644|UBP1,3.841844711801659e-11,UBP1
M00444|VDR,4.973977773535999e-11,VDR
UP00412|Etv5,5.275113169907306e-11,Etv5
MS00050|GCM2,5.588119484619228e-11,GCM2
M00341|GABPB1,8.136659350977702e-11,GABPB1
MC00532|Mycn,9.027502249628537e-11,Mycn
MC00502|HMGN1,9.671987298182303e-11,HMGN1
MS00290|ZBED1,1.2673935160979348e-10,ZBED1
MS00256|HES7,1.5176009028694902e-10,HES7
MS00207|TBX21,1.6107311549572806e-10,TBX21
MC00295|Esr1,2.0395965552616475e-10,Esr1
MC00373|Mxi1,2.529100090001666e-10,Mxi1
MC00461|Max,2.775792670580559e-10,Max
MC00335|ESR1,3.241803724620422e-10,ESR1
UP00413|Elf4,3.440795231192554e-10,Elf4
MS00302|CEBPG,4.122030098269582e-10,CEBPG
MC00367|GABPA,4.2644412401811686e-10,GABPA
MS00479|ZNF784,4.3880852049813094e-10,ZNF784
MS00179|SCRT1,5.204515253398101e-10,SCRT1
MS00255|HES5,5.405950651876603e-10,HES5
UP00035|HIC1,6.680295331699911e-10,HIC1
MC00187|Ctcf,7.979623404321218e-10,Ctcf
MC00192|ZNF263,8.600407898055656e-10,ZNF263
MS00288|TFE3,9.230385888845152e-10,TFE3
UP00423|Gm5454,9.606501460207803e-10,Gm5454
MC00278|ETS1,9.795332345523148e-10,ETS1
MC00168|ERG,1.0823604528443305e-09,ERG
MA0073|RREB1,1.1102884190368128e-09,RREB1
M01744|ZFP42,1.2644727610483592e-09,ZFP42
MS00694|RXRG,1.3933779909372737e-09,RXRG
M00467|ZNF423,1.658916096892017e-09,ZNF423
MC00163|Creb1,3.0160126114309878e-09,Creb1
MS00100|MYBL1,3.0377632849611826e-09,MYBL1
MS00188|MGA,3.1558746114763634e-09,MGA
MC00362|Arntl,3.484097691450969e-09,Arntl
MS00834|ELF4,3.5280027354517834e-09,ELF4
MC00394|MYC,4.08352419943743e-09,MYC
UP00020|ATF1,5.510488692574166e-09,ATF1
MS00025|FEV,5.70089906686881e-09,FEV
UP00018|Irf4,5.7188727809135185e-09,Irf4
MS00392|Foxg1,6.635165975367456e-09,Foxg1
MS00662|NR3C2,8.317726815172166e-09,NR3C2
M01288|NEUROD1,9.030367451331696e-09,NEUROD1
MS00248|BHLHB3,1.0546198258546114e-08,BHLHB3
MS00018|ETV4,1.1242420957821613e-08,ETV4
MC00448|Nr1h2,1.2276773493511943e-08,Nr1h2
MS00299|CEBPD,1.712421597282376e-08,CEBPD
MC00206|ELK1,1.756754005340764e-08,ELK1
MS00027|FLI1,2.1564916468470035e-08,FLI1
UP00418|Etv6,2.610945293979303e-08,Etv6
MC00207|ELK4,2.7847922643754798e-08,ELK4
MS00115|NFIX,3.35930182048231e-08,NFIX
MS00194|TBX19,3.6645404648462e-08,TBX19
M00115|CNTN2::CREB1,3.747095987015709e-08,CNTN2::CREB1
UP00095|Zfp691,3.887520443096766e-08,Zfp691
M00433|Hmx3,4.0285897617117253e-08,Hmx3
MC00473|ATF3,4.682026351552663e-08,ATF3
MS00021|ETV6,4.842564470915135e-08,ETV6
MC00457|ELF1,4.9082187937801804e-08,ELF1
MC00465|NR3C1,5.9017076607549644e-08,NR3C1
MS00171|Rfx2,6.769924269654298e-08,Rfx2
MS00023|Elk3,7.53189323173986e-08,Elk3
MS00247|BHLHB2,7.681387581126403e-08,BHLHB2
M00749|SREBF1,9.5137503789651e-08,SREBF1
MS00067|IRF5,9.749814143519965e-08,IRF5
MC00377|Trp53,9.840112698965805e-08,Trp53
MS00684|RARG,1.0075101978515423e-07,RARG
MS00268|YY2,1.0618867329327832e-07,YY2
UP00009|Nr2f2,1.1812841877404085e-07,Nr2f2
MA0101|REL,1.2337683948072114e-07,REL
MC00203|RFX3,1.3644546023253654e-07,RFX3
MS00267|MNT,1.5134503379200434e-07,MNT
MS00490|ZSCAN4,1.5205735816949674e-07,ZSCAN4
M00085|ZBTB6,1.5403155625865587e-07,ZBTB6
M00155|NR2F2,1.6624959812621518e-07,NR2F2
MS00311|Creb3l2,1.9577100172736907e-07,Creb3l2
MS00713|THRB,1.9652067988370626e-07,THRB
MS00739|E2F8,2.4562442677156174e-07,E2F8
MC00224|EPAS1,2.623071454591077e-07,EPAS1
UP00404|ELF2,2.886111026499105e-07,ELF2
MC00386|BCL6,2.9564002894440845e-07,BCL6
MC00280|NR4A1,3.7830686140768797e-07,NR4A1
MS00383|FOXO4,4.071446990796231e-07,FOXO4
MS00338|NRL,5.615338793445082e-07,NRL
M00483|ATF6,5.667342853377633e-07,ATF6
MS00325|Jdp2,6.240592581144139e-07,Jdp2
MC00512|Esrrb,6.269680353163368e-07,Esrrb
UP00085|Sfpi1,6.312762830133226e-07,Sfpi1
MS00846|ERF,1.1474523122408716e-06,ERF
M01334|Nkx1-1,1.1761655192682295e-06,Nkx1-1
MS00371|FOXK1,1.2666878324123011e-06,FOXK1
MC00124|MAX,1.3037344179285215e-06,MAX
MC00439|TP63,1.4701946228099152e-06,TP63
MS00294|ATF7,1.4918405442013897e-06,ATF7
M01112|RBPJ,1.5462916504587858e-06,RBPJ
MA0161|NFIC,1.7905391555213747e-06,NFIC
MS00177|RUNX3,1.8047603515560048e-06,RUNX3
UP00092|MYB,2.1731901568276313e-06,MYB
MS00252|Bhlhb2,2.3923591873042517e-06,Bhlhb2
MC00193|RELA,2.45002183032375e-06,RELA
MS00061|HSFY2,3.0554697283127594e-06,HSFY2
MC00142|PPARG,3.82430566700912e-06,PPARG
M00646|HNF1B,3.867362830508001e-06,HNF1B
MS00638|ESRRG,4.008550497685629e-06,ESRRG
MS00300|CEBPE,4.296088399438705e-06,CEBPE
MC00342|YY1,4.6477331276869505e-06,YY1
MC00344|Hnf4a,4.65932991290501e-06,Hnf4a
MS00571|NKX2-8,4.760362795531193e-06,NKX2-8
MC00339|NFE2L2,4.9785390623328275e-06,NFE2L2
UP00040|Irf5,5.312588561854753e-06,Irf5
MS00162|RFX2,6.044191434615112e-06,RFX2
MS00320|JDP2,6.2018241816552715e-06,JDP2
UP00011|IRF6,6.924422602884515e-06,IRF6
MC00407|Myc,7.313512300550357e-06,Myc
M00694|E4F1,7.4722223352317775e-06,E4F1
MC00223|SMAD2/3,7.5986235701403e-06,SMAD2/3
UP00048|RARA,7.85651545452878e-06,RARA
M00490|BACH2,8.656849246955562e-06,BACH2
MS00327|MAFG,9.010291568288177e-06,MAFG
MS00218|T,9.161804585173627e-06,T
M01596|GLI3,9.794524960657812e-06,GLI3
MC00130|Pparg,1.1900680560314727e-05,Pparg
MS00844|ELK3,1.296642065174399e-05,ELK3
MS00114|NFIB,1.3496840295600665e-05,NFIB
MS00102|MYBL2,1.4048455842224158e-05,MYBL2
MC00135|Rela,1.4301303939442144e-05,Rela
MC00476|Rarg,1.4569681554962965e-05,Rarg
MC00471|Rxra,1.5035649576717256e-05,Rxra
M01312|NKX2-1,1.6376024678990012e-05,NKX2-1
M00456|BPTF,1.694123977522531e-05,BPTF
MC00468|AR,1.72691406852606e-05,AR
MC00337|Ikzf3,1.747900140301265e-05,Ikzf3
UP00043|Bcl6b,1.8715813742341898e-05,Bcl6b
MS00398|Foxk1,1.8886020224345543e-05,Foxk1
MC00334|SIX5,1.967503908341486e-05,SIX5
MC00372|Yy1,1.97365390320541e-05,Yy1
MS00313|Creb5,2.0817874529173708e-05,Creb5
MS00838|ELF5,2.09245823240019e-05,ELF5
MS00401|ZNF306,2.2346655506031287e-05,ZNF306
MS00253|CLOCK,2.6325383754158245e-05,CLOCK
MC00121|Cebpb,3.064859071846434e-05,Cebpb
MS00468|ZNF75A,3.225444564742245e-05,ZNF75A
MC00126|TCF12,3.2281646458049375e-05,TCF12
MC00357|Crx,3.233185799693501e-05,Crx
M01105|ZNF350,3.331209922656531e-05,ZNF350
MS00808|TFEC,3.506403915512856e-05,TFEC
M00041|ATF2::JUN,3.6626219722713776e-05,ATF2::JUN
MS00022|Elf5,3.728637429659101e-05,Elf5
M00088|IKZF1,4.187640872683193e-05,IKZF1
MS00692|RXRB,5.414818002952676e-05,RXRB
M01207|ETS2,5.513697571502354e-05,ETS2
MA0081|SPIB,5.693228005222671e-05,SPIB
MS00641|Esrra,6.1016456827265266e-05,Esrra
MC00351|FOSL1,6.820669006692391e-05,FOSL1
MS00386|FOXO6,6.864426140079614e-05,FOXO6
UP00056|RFX4,6.867836626953931e-05,RFX4
M01262|TBX18,7.869651242249585e-05,TBX18
MS00414|BARHL2,8.483751157003571e-05,BARHL2
MS00475|HMX3,9.010525506504548e-05,HMX3
MS00217|TBX5,0.0001038215415833809,TBX5
MC00170|PGR,0.00012649520583184892,PGR
MC00136|Hoxb4,0.00013101495702083968,Hoxb4
UP00086|IRF3,0.00013110752867249366,IRF3
M01709|MAFA,0.00013814051535284468,MAFA
UP00081|Mybl1,0.00018395710447740028,Mybl1
MS00072|IRF8,0.00021082013326911454,IRF8
MS00070|IRF7,0.00021305178811128797,IRF7
MS00756|E2F7,0.00023857896146397674,E2F7
MS00160|PROX1,0.00024309198108475575,PROX1
M00706|GTF2I,0.00025757870441688995,GTF2I
MS00709|THRA,0.00026463178835492977,THRA
MC00211|NFATC1,0.00027356329283121435,NFATC1
MS00376|FOXO1,0.00027569938441374684,FOXO1
MS00729|ZNF282,0.0002893598732466799,ZNF282
MC00348|STAT1,0.0003093040212117164,STAT1
MS00778|EHF,0.0003132951164445577,EHF
MC00396|Nr3c1,0.0003404995518885644,Nr3c1
MS00326|MAFF,0.00035309959493357094,MAFF
M00133|POU3F1,0.00037761797330806133,POU3F1
MC00341|Olig2,0.0003809584069159553,Olig2
M00526|NR6A1,0.00038351358513505,NR6A1
MS00421|Barhl1,0.00043333190217867624,Barhl1
MS00556|GRHL1,0.0004592211527010753,GRHL1
UP00112|Gsc,0.00047384021065679805,Gsc
MS00016|ETV2,0.0005042954666506405,ETV2
MS00190|SCRT2,0.0006570209483095967,SCRT2
MS00829|ESRRA,0.0006658976147854853,ESRRA
MC00356|Tbx21,0.0006714382086230654,Tbx21
M01728|NR2F6,0.000678846308290326,NR2F6
M01656|Trp63,0.0007138996932189987,Trp63
MC00132|TP73,0.0008573874012421266,TP73
MS00463|GSC2,0.0008973471123223348,GSC2
MC00289|HSF1,0.0010368121281813867,HSF1
MC00467|RXRA,0.0010924193317411576,RXRA
MS00579|TFCP2,0.0011774828881184081,TFCP2
MS00380|FOXO3,0.0011941529552384105,FOXO3
MC00104|Foxa1,0.001233866068379188,Foxa1
UP00045|MAFB,0.0012502561796663902,MAFB
M01733|MZF1,0.0013044557278803408,MZF1
MS00708|Rxrb,0.001343008827913806,Rxrb
M01067|GFI1,0.0013663825126824982,GFI1
M01445|Obox6,0.0014390573625918178,Obox6
M00648|MAF,0.0014698294625786212,MAF
MC00388|Tal1,0.0015749773997365002,Tal1
MS00820|NFIA,0.0016035756988846276,NFIA
UP00027|Osr1,0.001686233515875078,Osr1
MC00169|Usf2,0.0017311877005488081,Usf2
UP00148|Hdx,0.0017629858843185274,Hdx
MC00477|ZNF711,0.001902499401260815,ZNF711
MS00065|IRF4,0.0019782791736333138,IRF4
MS00685|RORA,0.002019978901483191,RORA
MS00657|NR2F1,0.002096365202159432,NR2F1
MC00330|FOS,0.002133990395100763,FOS
MS00296|BATF3,0.0021626283411953547,BATF3
M00159|CEBPA,0.002203266419195279,CEBPA
MS00282|Srebf1,0.0022890177650456774,Srebf1
MC00134|Ppara,0.0022992698491875667,Ppara
MC00129|Fli1,0.0023150116561678692,Fli1
M01069|GZF1,0.0023894462227689586,GZF1
MC00293|Gfi1b,0.0024123765267525105,Gfi1b
UP00117|Hoxd11,0.0024226655222005828,Hoxd11
MS00726|PRDM4,0.002588806360524559,PRDM4
MS00514|Hoxa11,0.00266072887960353,Hoxa11
MS00665|NR4A2,0.0027024422621080026,NR4A2
UP00193|Rhox11,0.0028512337821001415,Rhox11
MS00361|FOXG1,0.002870787670387653,FOXG1
MC00385|Ets1,0.0031444819597542142,Ets1
M00964|NR1I2,0.0033973097227398335,NR1I2
UP00033|Zfp410,0.0035480859041771627,Zfp410
MC00347|STAT4,0.0035917321635362104,STAT4
MC00408|Myb,0.003679773965995582,Myb
MC00453|STAT5A,0.0037092884910764337,STAT5A
MC00511|Rxrg,0.003788905850098231,Rxrg
MC00186|Nr1d2,0.0038890334940080667,Nr1d2
M00999|AIRE,0.004060982355152778,AIRE
MS00836|HOXD12,0.004281630999763064,HOXD12
MS00812|ELF3,0.004437043179196938,ELF3
UP00125|PITX2,0.004459264560705926,PITX2
UP00192|SIX1,0.004548519670553486,SIX1
M00750|HMGA1,0.004743068252661631,HMGA1
MS00317|HLF,0.004811690420462976,HLF
UP00199|SIX4,0.004831876480087746,SIX4
MS00169|RFX5,0.0050659074992675,RFX5
MC00414|Atoh1,0.0053654522644032655,Atoh1
M00632|GATA4,0.005430722211444738,GATA4
MS00265|MLXIPL,0.00556886087226409,MLXIPL
MC00265|Tcf3,0.005922695164212238,Tcf3
MS00291|Tcf21,0.006030391718860872,Tcf21
MC00364|NFYA,0.006090443515153307,NFYA
MA0130|ZNF354C,0.0064325255588168935,ZNF354C
UP00190|NKX2-3,0.0064358292890178605,NKX2-3
MS00433|DMBX1,0.00651286467508815,DMBX1
M01466|Obox3,0.0067008016933006185,Obox3
M01480|Obox5,0.006891152232806185,Obox5
M00624|DBP,0.007344642912927628,DBP
